param,seed,f1,accuracy,ari,v_measure
66,32,0.543953,0.706346463948399,0.64701094234593,0.8208966742500174
72,32,0.7753257,0.8749520079858711,0.878114018319997,0.8755229174873989
99,32,0.6839038,0.9008964908239269,0.9162477647129633,0.8927247847360233
2,32,0.6924296,0.8497274053597481,0.8673929890183282,0.8622259922259854
3,32,0.583933,0.6806323427781618,0.6310358199991148,0.7953237894019678
98,32,0.7517408,0.8390635798203179,0.8434777443670884,0.8527185509710136
73,32,0.557749,0.7313982953236582,0.672605626370953,0.8360361390613442
67,32,0.7506033,0.8481724641019734,0.8606275888979193,0.8596706474824857
59,32,0.7552341,0.8970187360823159,0.900384334936556,0.8880039482555097
71,32,0.550817,0.7208208554096598,0.6615799672895737,0.8285457505210517
65,32,0.5397947,0.7044459801888966,0.6551165310842451,0.8173251548683624
1,32,0.7388847,0.8636450894571144,0.8663144954581864,0.8588556498803726
64,32,0.5490209,0.718478845120172,0.6594697701487275,0.8296407189549161
70,32,0.7500008,0.877418797512094,0.8933475230139576,0.8787660347306524
58,32,0.4644993,0.7121055056438609,0.6615048679705404,0.824315554580888
74,32,0.47828,0.7361495047224141,0.6898342077035488,0.8479236425467502
60,32,0.6283879,0.7328572525531751,0.6576589145262871,0.828650953384462
48,32,0.4683658,0.7087556630576672,0.6589654711208839,0.8270896003311502
4,32,0.7189978,0.9057820778622437,0.91109290349432,0.8942181358066363
5,32,0.7390424,0.8863261153344083,0.8887258300475718,0.8759545619924627
49,32,0.7804594,0.8748464255547876,0.8676307000019404,0.8723985589894202
61,32,0.553962,0.7236811794517393,0.6703893409678238,0.8311380081072378
75,32,0.7794081,0.880960608154803,0.8810455743717602,0.8699260913771379
63,32,0.7390424,0.8863261153344083,0.8887258300475718,0.8759545619924627
77,32,0.5921614,0.6994836059279735,0.6384030110623288,0.8020318868530796
88,32,0.47828,0.7361495047224141,0.6898342077035488,0.8479236425467502
7,32,0.7350124,0.8372398832834217,0.8226145839663143,0.8415739118286063
6,32,0.5722764,0.723191660907625,0.6697640777471202,0.8213484799995187
89,32,0.766612,0.8758062658373647,0.8715638806549829,0.868039931329402
76,32,0.7011948,0.9133552176917761,0.9201944197734964,0.9001000606990257
62,32,0.5523363,0.7275973278046534,0.6694371829773466,0.834992283299543
39,32,0.4309142,0.7288835137833064,0.6825119234641851,0.8327741918773948
11,32,0.4740147,0.7433099132304385,0.6923271443960215,0.8393317052418139
10,32,0.6835685,0.8512535514090456,0.8400636751302593,0.8526856549384125
38,32,0.7061112,0.9143726483913077,0.9084141924390546,0.8987163372469812
12,32,0.48889,0.7292962451048146,0.6809985917919446,0.832484304397835
13,32,0.4740893,0.7433099132304385,0.69232687531092,0.8389163856661123
17,32,0.6959464,0.8797224141902787,0.8846297842000672,0.8812298046544365
16,32,0.4261764,0.7381363741073486,0.6945463236583821,0.8467024861891546
14,32,0.5989922,0.7317630346310374,0.674328009144366,0.8226750702328617
28,32,0.7073168,0.8693465407356216,0.8671324404510061,0.8768740686005762
29,32,0.5771273,0.7330108269983875,0.6791319071005133,0.83249171434129
15,32,0.7430725,0.8446210550564386,0.8436325110409483,0.8535980703874563
