Algorithm,FrontPosition,count,num_solutions_total,proportion
flowsom,0,2,100,0.02
chronoclust,0,1,100,0.01
flowsom,1,11,100,0.11
chronoclust,1,1,100,0.01
flowsom,2,10,100,0.1
chronoclust,2,2,100,0.02
flowsom,3,7,100,0.07
chronoclust,3,2,100,0.02
flowsom,4,4,100,0.04
chronoclust,4,2,100,0.02
chronoclust,5,5,100,0.05
flowsom,5,4,100,0.04
chronoclust,6,2,100,0.02
flowsom,6,2,100,0.02
chronoclust,7,4,100,0.04
flowsom,7,1,100,0.01
flowsom,8,15,100,0.15
chronoclust,8,5,100,0.05
flowsom,9,7,100,0.07
chronoclust,9,5,100,0.05
flowsom,10,14,100,0.14
chronoclust,10,3,100,0.03
flowsom,11,11,100,0.11
chronoclust,11,2,100,0.02
flowsom,12,6,100,0.06
chronoclust,12,3,100,0.03
flowsom,13,5,100,0.05
chronoclust,13,3,100,0.03
chronoclust,14,2,100,0.02
flowsom,14,1,100,0.01
chronoclust,15,2,100,0.02
chronoclust,16,5,100,0.05
chronoclust,17,6,100,0.06
chronoclust,18,6,100,0.06
chronoclust,19,3,100,0.03
chronoclust,20,3,100,0.03
chronoclust,21,3,100,0.03
chronoclust,22,2,100,0.02
chronoclust,23,1,100,0.01
chronoclust,24,5,100,0.05
chronoclust,25,5,100,0.05
chronoclust,26,6,100,0.06
chronoclust,27,2,100,0.02
chronoclust,28,1,100,0.01
chronoclust,29,3,100,0.03
chronoclust,30,3,100,0.03
chronoclust,31,2,100,0.02
