Algorithm,FrontPosition,count,num_solutions_total,proportion
flowsom,0,8,200,0.04
chronoclust,0,3,200,0.015
flowsom,1,21,200,0.105
chronoclust,1,2,200,0.01
flowsom,2,18,200,0.09
chronoclust,2,3,200,0.015
flowsom,3,14,200,0.07
chronoclust,3,2,200,0.01
flowsom,4,13,200,0.065
chronoclust,4,3,200,0.015
flowsom,5,17,200,0.085
chronoclust,5,5,200,0.025
flowsom,6,10,200,0.05
chronoclust,6,3,200,0.015
flowsom,7,9,200,0.045
chronoclust,7,6,200,0.03
flowsom,8,21,200,0.105
chronoclust,8,6,200,0.03
flowsom,9,11,200,0.055
chronoclust,9,6,200,0.03
flowsom,10,22,200,0.11
chronoclust,10,6,200,0.03
flowsom,11,18,200,0.09
chronoclust,11,6,200,0.03
flowsom,12,10,200,0.05
chronoclust,12,6,200,0.03
flowsom,13,7,200,0.035
chronoclust,13,6,200,0.03
chronoclust,14,6,200,0.03
flowsom,14,1,200,0.005
chronoclust,15,6,200,0.03
chronoclust,16,13,200,0.065
chronoclust,17,12,200,0.06
chronoclust,18,9,200,0.045
chronoclust,19,5,200,0.025
chronoclust,20,7,200,0.035
chronoclust,21,10,200,0.05
chronoclust,22,6,200,0.03
chronoclust,23,7,200,0.035
chronoclust,24,8,200,0.04
chronoclust,25,10,200,0.05
chronoclust,26,9,200,0.045
chronoclust,27,9,200,0.045
chronoclust,28,7,200,0.035
chronoclust,29,4,200,0.02
chronoclust,30,5,200,0.025
chronoclust,31,3,200,0.015
chronoclust,32,1,200,0.005
