param,seed,f1,accuracy,ari,v_measure
66,32,0.6394547,0.64786639836007,0.6854282180392103,0.758979567457534
72,32,0.6834411,0.84998025313599,0.8657743676869899,0.8356715538148166
99,32,0.6640492,0.7933537697703722,0.8169418465023164,0.8189278968586547
2,32,0.6788127,0.8581610967972467,0.9041681462771747,0.8598589517745111
3,32,0.6864263,0.82494875218626,0.8814274809873258,0.8381503578606587
98,32,0.6610395,0.7975476275553383,0.8370768204301512,0.8191255467419564
73,32,0.6443789,0.7937863201248754,0.8351875411761873,0.8123490133397149
67,32,0.671562,0.738683166268595,0.7529690176019596,0.7886427728369418
59,32,0.6761114,0.8642544148345965,0.8917845042783469,0.8564273927785553
71,32,0.679287,0.8099787486130179,0.8552214381919043,0.8275864600891216
65,32,0.6746528,0.8472533052489045,0.8802069024514798,0.8496045225345767
1,32,0.6703418,0.8580294510371805,0.8816433366336122,0.8497119524436654
64,32,0.6797558,0.8198897936922874,0.8819583467584544,0.8394113500044338
70,32,0.5992004,0.668403136930397,0.5850931164028306,0.7676488178524922
58,32,0.6717043,0.7413348880070713,0.7476208850293413,0.7957431647207904
74,32,0.6537569,0.6215560528839825,0.6333678476093714,0.7657414055560215
60,32,0.6895004,0.763827506441239,0.7985671589033844,0.8011843214992335
48,32,0.7035761,0.8813119440317454,0.9078773326609013,0.8700372464321581
4,32,0.7070394,0.9104808831549847,0.8860102626995597,0.8594513479217867
5,32,0.6655643,0.8207925074755985,0.8756019960220189,0.8326683993317064
49,32,0.6822541,0.8396178511650649,0.8856832010737233,0.8400960812870001
61,32,0.671194,0.837398679781092,0.8838133773487934,0.8404248988241176
75,32,0.6868083,0.8870667444003536,0.8558812513019561,0.8477984978779615
63,32,0.6984108,0.8356308652887744,0.8863845383997194,0.841242219305877
77,32,0.620445,0.6698136272168206,0.5994067410924099,0.7787084932705589
88,32,0.683386,0.8765726966693622,0.8557317851551541,0.8504084115008995
7,32,0.6544871,0.8612453688902263,0.8825069470932903,0.8554411776181065
6,32,0.6887899,0.7563801177289226,0.7850117490015179,0.7983482914683673
89,32,0.6778709,0.8553401162243996,0.8627531687460042,0.8433966246648196
76,32,0.7065746,0.8671882346303575,0.8782950418349089,0.8570333825696703
62,32,0.7002379,0.8443006789159913,0.8824883017104007,0.8463390560579713
39,32,0.6652216,0.7646549940759408,0.7764240576170789,0.7990484105377877
11,32,0.6613844,0.8020611964718937,0.8412561592892397,0.8224436145077403
10,32,0.6808652,0.8746356233426739,0.873265723808782,0.8498806890376435
38,32,0.6368069,0.6392341978071577,0.649011188155739,0.7607271172365903
12,32,0.6439095,0.6086359618603426,0.6026154093087792,0.7723899217683162
13,32,0.6775641,0.874221879525323,0.8859596968416518,0.843756950579918
17,32,0.7079532,0.8400127884452636,0.8767893867020313,0.8471040181458005
16,32,0.6780934,0.7497226035770034,0.75214856131407,0.8066138503284567
14,32,0.6893084,0.8456735561281101,0.8584452974799782,0.840201501325239
28,32,0.6631271,0.8067252176856675,0.8385022437864528,0.8180710592068993
29,32,0.7067942,0.8524439095029432,0.8813463686979992,0.8535477400775148
15,32,0.6668209,0.5826265209786922,0.55667723121215,0.7501546716938814
18,32,0.6963622,0.8701596675004232,0.8892323507370472,0.8535876288110187
24,32,0.6716586,0.871231640118105,0.8767748365201034,0.8610558152738359
30,32,0.6905326,0.8401444342053298,0.87000244966818,0.8399101606221724
31,32,0.661922,0.8518044872397645,0.8511981405383412,0.8432370130116157
25,32,0.6980052,0.854587854738307,0.8970962262709786,0.8563186269979595
19,32,0.665846,0.7725913527542174,0.793741948673681,0.8114295808967582
33,32,0.7004079,0.8471216594888383,0.891162032309701,0.8455807451662775
27,32,0.6271109,0.5331465217309537,0.5256538813560375,0.7424899691262633
26,32,0.6804009,0.8394862054049987,0.8694322829600091,0.8336457671056272
32,32,0.671562,0.738683166268595,0.7530202766465158,0.7893070262165273
