param,f1,accuracy,ari,v_measure,num_cluster,grid_size,seed
1,0.6703418,0.8580294510371805,0.8816433366336122,0.8555579083286592,37,23,32
2,0.6788127,0.8581610967972467,0.9041681462771747,0.8698004680837721,40,14,32
3,0.6864263,0.82494875218626,0.8814274809873258,0.8533987150329109,54,25,32
4,0.7070394,0.9104808831549847,0.8860102626995597,0.85929320099672,27,24,32
5,0.6655643,0.8207925074755985,0.8756019960220189,0.8479900776436263,49,20,32
6,0.6887899,0.7563801177289226,0.7850117490015179,0.8235425292850094,70,28,32
7,0.6544871,0.8612453688902263,0.8825069470932903,0.8591667454959623,31,18,32
8,0.6651667,0.7477103041017058,0.7560929222357383,0.8255217440499594,58,27,32
9,0.6565625,0.5757245218437929,0.5770560717794887,0.7885531889687519,71,13,32
10,0.6808652,0.8746356233426739,0.873265723808782,0.8523450255383285,29,11,32
11,0.6613844,0.8020611964718937,0.8412561592892397,0.8416816097328256,52,18,32
12,0.6439095,0.6086359618603426,0.6026154093087792,0.8031877400468993,50,10,32
13,0.6775641,0.874221879525323,0.8859596968416518,0.8498398408131157,38,17,32
14,0.6893084,0.8456735561281101,0.8584452974799782,0.8473409530856771,33,28,32
15,0.6668209,0.5826265209786922,0.55667723121215,0.7828136514655839,65,12,32
16,0.6780934,0.7497226035770034,0.75214856131407,0.8307869059047797,51,11,32
17,0.7079532,0.8400127884452636,0.8767893867020313,0.8584713448971298,42,28,32
18,0.6963622,0.8701596675004232,0.8892323507370472,0.8606182476692879,38,29,32
19,0.665846,0.7725913527542174,0.793741948673681,0.8316802684064287,57,20,32
20,0.6621353,0.831173715983676,0.8837992142774412,0.8491527334621292,53,17,32
21,0.6615207,0.6575893780678164,0.663713911987627,0.8049408893760018,69,14,32
22,0.6655326,0.7939555789592463,0.8279504974859688,0.8333831705529327,59,22,32
23,0.6756242,0.8015534199687812,0.8515412355418507,0.8340948992275672,56,19,32
24,0.6716586,0.871231640118105,0.8767748365201034,0.8611861898965693,25,10,32
25,0.6980052,0.854587854738307,0.8970962262709786,0.8680308999356744,39,11,32
26,0.6804009,0.8394862054049987,0.8694322829600091,0.8433981800624006,41,30,32
27,0.6271109,0.5331465217309537,0.5256538813560375,0.7798559650767101,62,10,32
28,0.6631271,0.8067252176856675,0.8385022437864528,0.8352204071923854,55,30,32
29,0.7067942,0.8524439095029432,0.8813463686979992,0.8617463075221155,30,12,32
30,0.6905326,0.8401444342053298,0.87000244966818,0.8538472207341825,42,21,32
31,0.661922,0.8518044872397645,0.8511981405383412,0.8441856936091175,35,21,32
32,0.671562,0.738683166268595,0.7530202766465158,0.8123470557325962,64,19,32
33,0.7004079,0.8471216594888383,0.891162032309701,0.85835857172215,45,24,32
34,0.6865241,0.7545934966994527,0.741857601809861,0.8309475061926858,44,11,32
35,0.6909513,0.7762962405732232,0.7926357854179488,0.8349769712552225,55,23,32
36,0.6844084,0.6243206138453726,0.6140624931541855,0.8015166494937774,56,12,32
37,0.584206,0.649483760555169,0.5793644212425123,0.7595363357921667,25,18,32
38,0.6368069,0.6392341978071577,0.649011188155739,0.7906967619098945,68,29,32
39,0.6652216,0.7646549940759408,0.7764240576170789,0.8199031857055465,57,29,32
40,0.628247,0.5478720403212156,0.5761572997190287,0.7789292156268268,66,10,32
41,0.6739652,0.724559456867207,0.7730076705399721,0.8185465099190521,72,21,32
42,0.6271189,0.6711300848174826,0.5833873921715458,0.7641966461878054,24,13,32
43,0.6592173,0.8560923777104922,0.8814126689829834,0.8562225048937162,34,18,32
44,0.6718473,0.8535158821206251,0.8960437533679757,0.8635634642491969,35,11,32
45,0.7010315,0.8590638105805578,0.8964184929414919,0.8580780518826489,40,24,32
46,0.6636321,0.7806217441182555,0.8449331162445571,0.8348677723891672,59,15,32
47,0.6978179,0.8316250728753315,0.8848100011635179,0.8551254200416145,52,25,32
48,0.7035761,0.8813119440317454,0.9078773326609013,0.876910516596207,33,10,32
49,0.6822541,0.8396178511650649,0.8856832010737233,0.85271453427216,43,22,32
50,0.6976642,0.8485697628495665,0.8910809332419078,0.8575728558437989,43,24,32
51,0.687447,0.7920749252440148,0.8162950201074416,0.8346757947199048,48,26,32
52,0.6535749,0.8610196904443985,0.8778164504081235,0.850707030635493,28,22,32
53,0.6630617,0.6635510503451,0.6760033070485607,0.8048088851841995,66,13,32
54,0.6822988,0.7596148421191206,0.8006978816223141,0.832710649867921,66,25,32
55,0.6767997,0.832678238955861,0.8795926889745427,0.8567810372166648,46,14,32
56,0.6988905,0.7847779888289169,0.8098881400425467,0.8348225370063934,61,26,32
57,0.6757771,0.7508698023432945,0.785474816381218,0.8269107030826658,60,25,32
58,0.6717043,0.7413348880070713,0.7476208850293413,0.8208620661119341,62,27,32
59,0.6761114,0.8642544148345965,0.8917845042783469,0.8639573845939881,36,14,32
60,0.6895004,0.763827506441239,0.7985671589033844,0.8258096278729318,71,28,32
61,0.671194,0.837398679781092,0.8838133773487934,0.85378444741442,46,16,32
62,0.7002379,0.8443006789159913,0.8824883017104007,0.85854718185142,40,27,32
63,0.6984108,0.8356308652887744,0.8863845383997194,0.8562014677713886,47,23,32
64,0.6797558,0.8198897936922874,0.8819583467584544,0.8560717532835572,49,13,32
65,0.6746528,0.8472533052489045,0.8802069024514798,0.8589630004109515,38,20,32
66,0.6394547,0.64786639836007,0.6854282180392103,0.7922280022239749,70,15,32
67,0.671562,0.738683166268595,0.7529690176019596,0.8120069408397657,68,19,32
68,0.6628779,0.661877268538544,0.6732935613025415,0.8049840594850892,64,13,32
70,0.5992004,0.668403136930397,0.5850931164028306,0.7498869745684614,24,17,32
71,0.679287,0.8099787486130179,0.8552214381919043,0.8463044309229031,47,15,32
72,0.6834411,0.84998025313599,0.8657743676869899,0.8425437528421882,36,16,32
73,0.6443789,0.7937863201248754,0.8351875411761873,0.8311649958190962,60,30,32
74,0.6537569,0.6215560528839825,0.6333678476093714,0.7974148227784374,67,27,32
75,0.6868083,0.8870667444003536,0.8558812513019561,0.8444479284313808,26,24,32
76,0.7065746,0.8671882346303575,0.8782950418349089,0.8611076172461799,32,12,32
77,0.620445,0.6698136272168206,0.5994067410924099,0.7641864000081202,26,16,32
78,0.6429404,0.8594399413236041,0.8560734993002445,0.8426342002929077,27,23,32
79,0.6368371,0.6391965847328531,0.6491836868556425,0.7908714893336211,69,29,32
80,0.6303152,0.7727418050514359,0.8121963916836897,0.821811276994592,68,30,32
81,0.6619515,0.8573712222368496,0.8729992749017601,0.8526784318664322,36,20,32
82,0.6807935,0.839918755759502,0.8866199126754727,0.8524544260835699,44,29,32
83,0.626866,0.7228480619863464,0.7451534924677001,0.8135595940474036,65,17,32
84,0.683584,0.822861226562353,0.866814040521513,0.8540249964425389,45,15,32
85,0.675771,0.8696330844601583,0.8790521109182619,0.8526632538957758,29,23,32
86,0.6936809,0.82291764617381,0.8699320042405448,0.8483692136719403,54,28,32
87,0.6380113,0.851296710736652,0.8610359322771483,0.8470084185779999,33,15,32
88,0.683386,0.8765726966693622,0.8557317851551541,0.8495095363448044,31,21,32
89,0.6778709,0.8553401162243996,0.8627531687460042,0.846694478764294,30,16,32
90,0.6727582,0.7391533296974028,0.7539481803918043,0.8130201413458148,61,19,32
91,0.6941838,0.8003498015910331,0.8178016249278479,0.8365395323456352,51,26,32
92,0.6966075,0.8224850958193068,0.8644548845957652,0.8499278765260679,50,23,32
93,0.6692684,0.861170142741617,0.8591787337994119,0.8471623185605477,28,26,32
94,0.6730379,0.7468828164670039,0.7553894734010546,0.8249868640762593,63,27,32
95,0.6761005,0.852970492543208,0.8646233773805827,0.8447488404596186,31,16,32
96,0.66451,0.768322268820642,0.7917692340072948,0.8296108939660601,58,20,32
97,0.6878607,0.8164670039305663,0.8618229372892039,0.8381957832496102,53,19,32
98,0.6610395,0.7975476275553383,0.8370768204301512,0.8396603681281792,59,18,32
