num_cluster,grid_size
70,28
35,21
60,13
57,19
42,10
72,10
33,20
44,14
40,26
24,18
51,10
38,28
51,27
50,22
39,11
53,27
39,15
43,12
29,15
32,30
43,15
25,29
55,11
25,23
27,29
36,25
66,29
40,30
62,12
47,16
54,26
29,10
49,13
30,30
67,20
59,22
54,16
45,21
67,12
45,15
45,22
34,11
57,29
46,28
61,27
53,14
26,14
72,23
70,17
48,26
61,25
50,24
56,29
29,29
43,21
57,14
59,22
33,25
56,18
68,18
52,19
66,24
64,24
38,28
58,20
37,27
28,13
64,16
46,19
49,25
36,19
33,23
35,13
65,14
63,11
38,16
69,15
31,30
61,17
71,11
59,24
68,18
62,12
48,13
34,17
52,20
28,24
47,22
65,20
65,17
71,23
31,16
31,27
54,23
42,26
41,21
69,19
27,11
24,18
26,26
