num_cluster,grid_size
60,16
67,15
33,13
59,20
58,26
69,22
48,11
42,25
27,20
51,14
69,10
29,12
66,18
64,17
68,26
44,20
45,11
62,30
33,30
64,17
66,20
31,15
39,26
33,18
58,23
27,16
57,26
25,22
46,29
41,22
65,27
72,18
63,17
53,24
45,23
50,13
70,30
43,11
36,29
37,28
30,27
39,19
68,26
56,27
65,30
59,19
46,24
38,30
28,12
48,16
54,21
61,28
26,28
70,28
53,27
49,29
25,15
35,10
40,25
63,29
51,10
26,12
68,13
52,25
38,24
32,19
35,23
72,19
71,21
42,14
29,10
57,16
61,24
47,21
43,24
52,25
56,27
24,21
49,19
45,16
36,23
61,16
32,10
62,14
34,29
43,11
40,14
55,22
27,14
29,17
47,12
36,18
54,24
24,20
55,22
60,13
31,17
50,11
71,13
38,15
