num_cluster,grid_size
42,24
37,28
31,24
33,15
39,30
25,18
41,26
37,19
28,19
37,26
16,21
24,26
18,21
30,22
42,21
14,12
28,10
20,18
42,10
34,15
31,14
29,29
36,25
26,13
26,12
40,29
33,13
24,14
22,24
35,11
25,26
38,13
15,24
38,29
23,23
29,20
27,11
18,24
32,15
21,17
30,16
36,17
16,14
31,28
15,13
20,20
38,19
35,12
17,12
34,16
16,20
19,17
33,28
17,11
21,15
35,14
29,25
21,10
20,16
23,20
25,27
39,27
23,19
33,23
36,22
26,16
40,15
19,10
14,11
39,18
30,21
32,22
21,23
35,22
28,27
41,18
27,23
26,27
27,27
18,10
42,18
19,26
41,29
15,28
34,22
22,23
29,30
24,29
22,25
17,30
40,17
32,30
19,20
