num_cluster,grid_size
37,23
40,14
54,25
27,24
49,20
70,28
31,18
58,27
71,13
29,11
52,18
50,10
38,17
33,28
65,12
51,11
42,28
38,29
57,20
53,17
69,14
59,22
56,19
25,10
39,11
41,30
62,10
55,30
30,12
42,21
35,21
64,19
45,24
44,11
55,23
56,12
25,18
68,29
57,29
66,10
72,21
24,13
34,18
35,11
40,24
59,15
52,25
33,10
43,22
43,24
48,26
28,22
66,13
66,25
46,14
61,26
60,25
62,27
36,14
71,28
46,16
40,27
47,23
49,13
38,20
70,15
68,19
64,13
24,17
47,15
36,16
60,30
67,27
26,24
32,12
26,16
27,23
69,29
68,30
36,20
44,29
65,17
45,15
29,23
54,28
33,15
31,21
30,16
61,19
51,26
50,23
28,26
63,27
31,16
58,20
53,19
59,18
48,16
72,26
