FlowSOM_cluster,FlowSOM_metacluster
33,25
22,16
22,16
22,16
22,16
33,25
22,16
22,16
22,16
25,19
22,16
22,16
22,16
24,18
22,16
33,25
22,16
33,25
1,1
33,25
24,18
24,18
24,18
33,25
33,25
33,25
33,25
33,25
33,25
33,25
25,19
33,25
25,19
33,25
33,25
33,25
33,25
24,18
24,18
33,25
33,25
33,25
24,18
24,18
22,16
33,25
33,25
33,25
24,18
22,16
33,25
22,16
22,16
22,16
33,25
33,25
22,16
22,16
33,25
22,16
22,16
22,16
33,25
22,16
25,19
33,25
34,18
22,16
24,18
22,16
33,25
33,25
22,16
33,25
22,16
22,16
24,18
24,18
33,25
24,18
33,25
33,25
33,25
22,16
22,16
22,16
22,16
33,25
22,16
24,18
22,16
22,16
22,16
33,25
24,18
22,16
33,25
33,25
22,16
22,16
33,25
33,25
22,16
33,25
33,25
22,16
22,16
33,25
33,25
22,16
25,19
22,16
22,16
33,25
22,16
22,16
24,18
22,16
25,19
22,16
22,16
24,18
22,16
33,25
33,25
22,16
33,25
35,26
22,16
22,16
22,16
22,16
25,19
22,16
33,25
22,16
33,25
22,16
22,16
22,16
24,18
24,18
25,19
22,16
33,25
33,25
25,19
33,25
22,16
22,16
33,25
33,25
22,16
22,16
33,25
22,16
22,16
33,25
25,19
22,16
22,16
33,25
33,25
33,25
25,19
33,25
22,16
33,25
22,16
33,25
33,25
22,16
33,25
33,25
33,25
25,19
33,25
33,25
22,16
22,16
22,16
22,16
22,16
12,2
22,16
51,37
33,25
25,19
22,16
33,25
22,16
33,25
33,25
24,18
22,16
33,25
25,19
24,18
33,25
24,18
24,18
25,19
33,25
22,16
33,25
22,16
22,16
33,25
22,16
33,25
33,25
24,18
33,25
22,16
22,16
22,16
25,19
24,18
33,25
22,16
24,18
22,16
33,25
22,16
22,16
33,25
33,25
33,25
22,16
33,25
22,16
33,25
33,25
33,25
33,25
33,25
33,25
33,25
33,25
33,25
33,25
33,25
22,16
22,16
33,25
24,18
33,25
33,25
24,18
35,26
22,16
22,16
22,16
22,16
25,19
22,16
24,18
22,16
33,25
33,25
33,25
33,25
25,19
33,25
22,16
33,25
22,16
22,16
35,26
22,16
33,25
33,25
24,18
22,16
22,16
33,25
24,18
33,25
21,15
33,25
33,25
33,25
22,16
25,19
22,16
25,19
33,25
33,25
22,16
33,25
33,25
22,16
22,16
22,16
22,16
33,25
22,16
22,16
22,16
33,25
33,25
25,19
33,25
24,18
22,16
21,15
22,16
33,25
22,16
22,16
22,16
25,19
33,25
22,16
33,25
22,16
22,16
33,25
33,25
33,25
22,16
35,26
24,18
33,25
25,19
24,18
25,19
22,16
22,16
22,16
22,16
22,16
33,25
24,18
33,25
22,16
33,25
24,18
33,25
33,25
33,25
22,16
22,16
33,25
35,26
22,16
22,16
24,18
22,16
33,25
22,16
51,37
21,15
22,16
33,25
33,25
25,19
33,25
25,19
33,25
22,16
22,16
22,16
25,19
33,25
25,19
24,18
22,16
22,16
25,19
35,26
22,16
22,16
33,25
33,25
22,16
22,16
22,16
22,16
25,19
22,16
33,25
33,25
24,18
22,16
22,16
24,18
33,25
22,16
22,16
33,25
22,16
22,16
22,16
22,16
22,16
22,16
25,19
22,16
22,16
22,16
24,18
22,16
22,16
33,25
24,18
22,16
24,18
33,25
33,25
33,25
33,25
34,18
12,2
22,16
22,16
22,16
33,25
22,16
33,25
22,16
33,25
22,16
25,19
22,16
22,16
22,16
22,16
22,16
24,18
22,16
22,16
33,25
33,25
22,16
22,16
25,19
22,16
22,16
22,16
35,26
33,25
24,18
33,25
25,19
22,16
22,16
22,16
33,25
22,16
25,19
33,25
33,25
33,25
44,31
35,26
33,25
22,16
25,19
22,16
33,25
22,16
22,16
78,56
33,25
22,16
33,25
22,16
22,16
22,16
33,25
22,16
33,25
33,25
33,25
22,16
35,26
33,25
22,16
22,16
33,25
33,25
33,25
33,25
22,16
22,16
22,16
22,16
22,16
22,16
22,16
33,25
22,16
22,16
22,16
33,25
33,25
33,25
33,25
22,16
22,16
33,25
22,16
33,25
22,16
25,19
22,16
25,19
22,16
24,18
22,16
33,25
24,18
33,25
22,16
33,25
33,25
22,16
22,16
22,16
33,25
22,16
22,16
22,16
22,16
33,25
22,16
33,25
33,25
22,16
25,19
22,16
24,18
22,16
24,18
25,19
24,18
22,16
24,18
22,16
33,25
33,25
33,25
33,25
33,25
35,26
22,16
35,26
22,16
21,15
33,25
22,16
22,16
35,26
22,16
33,25
33,25
24,18
22,16
33,25
33,25
22,16
25,19
22,16
24,18
33,25
22,16
22,16
33,25
33,25
33,25
33,25
22,16
22,16
22,16
22,16
33,25
22,16
33,25
33,25
33,25
22,16
22,16
22,16
22,16
22,16
22,16
22,16
33,25
22,16
22,16
22,16
33,25
51,37
22,16
22,16
33,25
22,16
33,25
33,25
33,25
24,18
22,16
22,16
22,16
33,25
33,25
24,18
22,16
22,16
33,25
22,16
33,25
24,18
24,18
24,18
33,25
22,16
22,16
24,18
33,25
22,16
33,25
33,25
22,16
25,19
33,25
33,25
33,25
35,26
22,16
33,25
22,16
33,25
22,16
51,37
22,16
22,16
33,25
33,25
25,19
22,16
33,25
22,16
