FlowSOM_cluster,FlowSOM_metacluster
101,13
68,2
16,1
219,56
8,2
11,4
179,46
20,2
90,9
218,52
96,7
44,4
56,4
20,2
64,7
30,4
78,7
72,4
53,2
224,45
166,43
29,4
155,38
5,2
36,2
74,4
78,7
182,49
68,2
40,4
100,13
4,2
57,4
95,7
17,1
107,15
56,4
29,4
14,4
209,45
60,4
122,14
213,54
69,2
46,6
55,4
95,7
215,59
121,20
104,9
99,12
214,58
58,4
92,8
119,9
21,2
69,2
52,2
54,2
29,4
212,57
151,35
223,45
194,45
157,31
5,2
210,45
74,4
143,31
76,8
10,4
205,56
97,2
1,1
72,4
7,2
132,26
170,30
221,56
43,4
209,45
160,24
200,55
209,45
68,2
202,31
62,6
168,37
22,2
173,31
122,14
123,21
142,23
122,14
130,25
11,4
172,31
211,57
10,4
80,7
122,14
121,20
114,17
111,16
92,8
64,7
125,23
202,31
67,2
1,1
223,45
26,4
120,9
84,2
207,45
88,4
195,46
5,2
4,2
29,4
221,56
189,52
57,4
7,2
65,7
207,45
4,2
28,4
205,56
223,45
13,5
140,30
207,45
166,43
88,4
126,23
28,4
29,4
208,45
151,35
72,4
40,4
14,4
35,2
127,23
34,7
78,7
121,20
192,45
2,1
52,2
220,56
1,1
127,23
55,4
217,52
99,12
59,4
97,2
18,2
207,45
53,2
225,45
69,2
214,58
185,51
71,4
18,2
72,4
208,45
194,45
63,7
43,4
61,6
181,48
68,2
36,2
120,9
74,4
115,18
196,53
43,4
200,55
39,2
11,4
93,11
52,2
73,4
207,45
191,45
123,21
133,9
29,4
61,6
119,9
83,2
11,4
41,4
49,7
151,35
10,4
91,10
224,45
59,4
200,55
74,4
133,9
21,2
131,25
151,35
82,2
211,57
100,13
34,7
119,9
36,2
104,9
36,2
90,9
50,2
94,7
23,2
88,4
116,13
143,31
150,34
59,4
213,54
25,4
33,7
16,1
32,6
125,23
94,7
124,22
14,4
12,4
74,4
78,7
126,23
172,31
204,56
26,4
19,2
114,17
59,4
158,31
11,4
2,1
34,7
30,4
179,46
59,4
72,4
217,52
44,4
59,4
70,4
73,4
55,4
83,2
104,9
103,9
122,14
187,31
116,13
202,31
10,4
53,2
152,36
77,6
122,14
116,13
115,18
66,2
15,5
10,4
187,31
203,52
193,45
5,2
200,55
126,23
95,7
145,24
39,2
17,1
59,4
85,4
87,4
19,2
188,31
109,16
202,31
64,7
177,45
46,6
45,4
213,54
5,2
60,4
221,56
71,4
71,4
31,6
11,4
120,9
134,27
98,2
188,31
194,45
191,45
205,56
50,2
69,2
103,9
26,4
202,31
120,9
37,2
82,2
7,2
79,7
194,45
222,45
38,2
154,29
37,2
162,41
208,45
29,4
26,4
42,4
53,2
58,4
213,54
194,45
224,45
51,2
168,37
61,6
10,4
158,31
27,4
86,4
77,6
56,4
203,52
13,5
24,2
223,45
116,13
194,45
188,31
44,4
168,37
198,54
204,56
62,6
37,2
209,45
46,6
126,23
5,2
104,9
18,2
31,6
44,4
56,4
207,45
131,25
44,4
25,4
49,7
182,49
3,1
213,54
99,12
44,4
124,22
161,40
65,7
5,2
44,4
207,45
137,28
105,9
178,45
98,2
149,33
134,27
208,45
