FrontPosition,Param,Algorithm,accuracy,ari,f1,v_measure,accuracy_negate,ari_negate,f1_negate,v_measure_negate,NormalisedFrontPosition
0,44,phenograph,0.884475860540528,0.8932123667192972,0.6786794,0.8733254464789744,-0.884475860540528,-0.8932123667192972,-0.6786794,-0.8733254464789744,0.0
0,19,phenograph,0.8822557379088856,0.8938606371297234,0.6654031,0.8742501814503457,-0.8822557379088856,-0.8938606371297234,-0.6654031,-0.8742501814503457,0.0
0,1,phenograph,0.8765965636700843,0.8967603597471566,0.6552761,0.8727573803900494,-0.8765965636700843,-0.8967603597471566,-0.6552761,-0.8727573803900494,0.0
0,23,phenograph,0.8731808408471459,0.8907995449465429,0.6502899,0.8746600062237926,-0.8731808408471459,-0.8907995449465429,-0.6502899,-0.8746600062237926,0.0
0,20,phenograph,0.8673933582951324,0.878724520839113,0.6903068,0.8601206140386053,-0.8673933582951324,-0.878724520839113,-0.6903068,-0.8601206140386053,0.0
0,71,flowsom,0.86374434762999,0.8925409875915907,0.6591191,0.8752315169168492,-0.86374434762999,-0.8925409875915907,-0.6591191,-0.8752315169168492,0.0
0,83,flowsom,0.8605152550808148,0.8925442763506092,0.6685129,0.8766531205669393,-0.8605152550808148,-0.8925442763506092,-0.6685129,-0.8766531205669393,0.0
0,75,flowsom,0.8545664151046102,0.8848795187351853,0.716903,0.8712148404976273,-0.8545664151046102,-0.8848795187351853,-0.716903,-0.8712148404976273,0.0
0,47,flowsom,0.851747520344644,0.884942786962351,0.7116572,0.8709830220052662,-0.851747520344644,-0.884942786962351,-0.7116572,-0.8709830220052662,0.0
0,35,flowsom,0.8373244995003752,0.8756210324516162,0.7221456,0.8659907817609953,-0.8373244995003752,-0.8756210324516162,-0.7221456,-0.8659907817609953,0.0
0,93,flowsom,0.8231036614526834,0.8857985734115809,0.6820131,0.8632987101432065,-0.8231036614526834,-0.8857985734115809,-0.6820131,-0.8632987101432065,0.0
1,5,phenograph,0.8792657653979696,0.8821157119833309,0.6678972,0.8708473339438109,-0.8792657653979696,-0.8821157119833309,-0.6678972,-0.8708473339438109,0.02564102564102564
1,25,phenograph,0.8746038966845909,0.8881405959096998,0.6565307,0.8688900778120426,-0.8746038966845909,-0.8881405959096998,-0.6565307,-0.8688900778120426,0.02564102564102564
1,79,phenograph,0.8745552950507984,0.8792377423923842,0.6770646,0.8690021931032288,-0.8745552950507984,-0.8792377423923842,-0.6770646,-0.8690021931032288,0.02564102564102564
1,49,phenograph,0.8742209158103059,0.8947153786334127,0.6472583,0.8674952550753652,-0.8742209158103059,-0.8947153786334127,-0.6472583,-0.8674952550753652,0.02564102564102564
1,70,phenograph,0.8738340468053174,0.8952221625324945,0.6492058,0.8683678637542702,-0.8738340468053174,-0.8952221625324945,-0.6492058,-0.8683678637542702,0.02564102564102564
1,42,phenograph,0.8732644356572691,0.8862098833811333,0.6629974,0.8697922215013479,-0.8732644356572691,-0.8862098833811333,-0.6629974,-0.8697922215013479,0.02564102564102564
1,21,phenograph,0.8718180510356036,0.8867034382889077,0.6578385,0.8684803227673067,-0.8718180510356036,-0.8867034382889077,-0.6578385,-0.8684803227673067,0.02564102564102564
1,59,phenograph,0.8716003157162131,0.8913366631495067,0.6523916,0.8673610772904312,-0.8716003157162131,-0.8913366631495067,-0.6523916,-0.8673610772904312,0.02564102564102564
1,56,phenograph,0.8715206090367934,0.8928843987593109,0.6521606,0.8687819802858782,-0.8715206090367934,-0.8928843987593109,-0.6521606,-0.8687819802858782,0.02564102564102564
