Algorithm,FrontPosition,count,num_solutions_total,proportion
flowsom,0,2,93,0.021505376344086023
chronoclust,0,1,100,0.01
flowsom,1,10,93,0.10752688172043011
chronoclust,1,1,100,0.01
flowsom,2,9,93,0.0967741935483871
chronoclust,2,1,100,0.01
flowsom,3,8,93,0.08602150537634409
chronoclust,3,2,100,0.02
flowsom,4,3,93,0.03225806451612903
chronoclust,4,2,100,0.02
flowsom,5,4,93,0.043010752688172046
chronoclust,5,3,100,0.03
chronoclust,6,5,100,0.05
flowsom,6,2,93,0.021505376344086023
chronoclust,7,4,100,0.04
phenograph,7,2,95,0.021052631578947368
flowsom,7,1,93,0.010752688172043012
phenograph,8,7,95,0.07368421052631578
chronoclust,8,5,100,0.05
flowsom,8,1,93,0.010752688172043012
phenograph,9,10,95,0.10526315789473684
chronoclust,9,5,100,0.05
flowsom,9,1,93,0.010752688172043012
phenograph,10,12,95,0.12631578947368421
chronoclust,10,2,100,0.02
phenograph,11,9,95,0.09473684210526316
chronoclust,11,2,100,0.02
phenograph,12,7,95,0.07368421052631578
chronoclust,12,1,100,0.01
phenograph,13,7,95,0.07368421052631578
chronoclust,13,3,100,0.03
phenograph,14,2,95,0.021052631578947368
flowsom,14,1,93,0.010752688172043012
flowsom,15,2,93,0.021505376344086023
phenograph,15,2,95,0.021052631578947368
flowsom,16,1,93,0.010752688172043012
phenograph,16,1,95,0.010526315789473684
flowsom,17,8,93,0.08602150537634409
phenograph,17,2,95,0.021052631578947368
chronoclust,17,1,100,0.01
flowsom,18,9,93,0.0967741935483871
phenograph,18,3,95,0.031578947368421054
flowsom,19,10,93,0.10752688172043011
phenograph,19,6,95,0.06315789473684211
flowsom,20,11,93,0.11827956989247312
phenograph,20,10,95,0.10526315789473684
flowsom,21,5,93,0.053763440860215055
phenograph,21,5,95,0.05263157894736842
chronoclust,21,1,100,0.01
flowsom,22,4,93,0.043010752688172046
phenograph,22,4,95,0.042105263157894736
chronoclust,22,1,100,0.01
phenograph,23,2,95,0.021052631578947368
chronoclust,23,2,100,0.02
flowsom,23,1,93,0.010752688172043012
phenograph,24,2,95,0.021052631578947368
chronoclust,24,1,100,0.01
chronoclust,25,3,100,0.03
phenograph,25,1,95,0.010526315789473684
phenograph,26,1,95,0.010526315789473684
chronoclust,26,1,100,0.01
chronoclust,27,1,100,0.01
chronoclust,28,5,100,0.05
chronoclust,29,8,100,0.08
chronoclust,30,3,100,0.03
chronoclust,31,3,100,0.03
chronoclust,32,3,100,0.03
chronoclust,33,2,100,0.02
chronoclust,34,1,100,0.01
chronoclust,35,5,100,0.05
chronoclust,36,5,100,0.05
chronoclust,37,6,100,0.06
chronoclust,38,2,100,0.02
chronoclust,39,1,100,0.01
chronoclust,40,3,100,0.03
chronoclust,41,3,100,0.03
chronoclust,42,2,100,0.02
