Algorithm,FrontPosition,count,num_solutions_total,proportion
flowsom,0,5,99,0.050505050505050504
phenograph,0,3,70,0.04285714285714286
flowsom,1,12,99,0.12121212121212122
phenograph,1,6,70,0.08571428571428572
flowsom,2,12,99,0.12121212121212122
phenograph,2,8,70,0.11428571428571428
flowsom,3,11,99,0.1111111111111111
phenograph,3,7,70,0.1
phenograph,4,8,70,0.11428571428571428
flowsom,4,6,99,0.06060606060606061
chronoclust,4,1,100,0.01
phenograph,5,6,70,0.08571428571428572
flowsom,5,6,99,0.06060606060606061
chronoclust,5,2,100,0.02
flowsom,6,10,99,0.10101010101010101
phenograph,6,5,70,0.07142857142857142
phenograph,7,7,70,0.1
flowsom,7,6,99,0.06060606060606061
phenograph,8,6,70,0.08571428571428572
flowsom,8,5,99,0.050505050505050504
phenograph,9,6,70,0.08571428571428572
flowsom,9,4,99,0.04040404040404041
phenograph,10,3,70,0.04285714285714286
flowsom,10,3,99,0.030303030303030304
chronoclust,10,2,100,0.02
flowsom,11,2,99,0.020202020202020204
phenograph,11,1,70,0.014285714285714285
chronoclust,11,1,100,0.01
chronoclust,12,3,100,0.03
flowsom,12,1,99,0.010101010101010102
flowsom,13,4,99,0.04040404040404041
phenograph,13,2,70,0.02857142857142857
chronoclust,13,1,100,0.01
flowsom,14,3,99,0.030303030303030304
chronoclust,14,2,100,0.02
flowsom,15,7,99,0.0707070707070707
chronoclust,15,2,100,0.02
phenograph,15,1,70,0.014285714285714285
chronoclust,16,4,100,0.04
flowsom,16,2,99,0.020202020202020204
chronoclust,17,6,100,0.06
phenograph,17,1,70,0.014285714285714285
chronoclust,18,7,100,0.07
chronoclust,19,2,100,0.02
chronoclust,20,5,100,0.05
chronoclust,21,2,100,0.02
chronoclust,22,4,100,0.04
chronoclust,23,2,100,0.02
chronoclust,24,5,100,0.05
chronoclust,25,3,100,0.03
chronoclust,26,6,100,0.06
chronoclust,27,5,100,0.05
chronoclust,28,4,100,0.04
chronoclust,29,4,100,0.04
chronoclust,30,5,100,0.05
chronoclust,31,3,100,0.03
chronoclust,32,2,100,0.02
chronoclust,33,3,100,0.03
chronoclust,34,3,100,0.03
chronoclust,35,3,100,0.03
chronoclust,36,2,100,0.02
chronoclust,37,4,100,0.04
chronoclust,38,2,100,0.02
