Algorithm,FrontPosition,count,num_solutions_total,proportion
phenograph,0,5,73,0.0684931506849315
flowsom,0,6,94,0.06382978723404255
phenograph,1,11,73,0.1506849315068493
flowsom,1,12,94,0.1276595744680851
flowsom,2,15,94,0.1595744680851064
phenograph,2,6,73,0.0821917808219178
phenograph,3,13,73,0.1780821917808219
flowsom,3,11,94,0.11702127659574468
phenograph,4,12,73,0.1643835616438356
flowsom,4,6,94,0.06382978723404255
phenograph,5,8,73,0.1095890410958904
flowsom,5,5,94,0.05319148936170213
flowsom,6,7,94,0.07446808510638298
phenograph,6,5,73,0.0684931506849315
chronoclust,6,1,100,0.01
phenograph,7,4,73,0.0547945205479452
flowsom,7,4,94,0.0425531914893617
chronoclust,7,1,100,0.01
phenograph,8,2,73,0.0273972602739726
flowsom,8,2,94,0.02127659574468085
chronoclust,8,1,100,0.01
phenograph,9,1,73,0.0136986301369863
flowsom,9,1,94,0.010638297872340425
chronoclust,9,1,100,0.01
chronoclust,10,4,100,0.04
phenograph,10,1,73,0.0136986301369863
chronoclust,11,6,100,0.06
phenograph,11,3,73,0.0410958904109589
flowsom,11,2,94,0.02127659574468085
flowsom,12,8,94,0.0851063829787234
chronoclust,12,3,100,0.03
flowsom,13,4,94,0.0425531914893617
chronoclust,13,3,100,0.03
flowsom,14,4,94,0.0425531914893617
chronoclust,14,2,100,0.02
phenograph,14,1,73,0.0136986301369863
flowsom,15,2,94,0.02127659574468085
phenograph,15,1,73,0.0136986301369863
flowsom,16,4,94,0.0425531914893617
chronoclust,16,1,100,0.01
flowsom,17,1,94,0.010638297872340425
chronoclust,17,1,100,0.01
chronoclust,18,3,100,0.03
chronoclust,19,2,100,0.02
chronoclust,20,2,100,0.02
chronoclust,21,4,100,0.04
chronoclust,22,6,100,0.06
chronoclust,23,2,100,0.02
chronoclust,24,4,100,0.04
chronoclust,25,4,100,0.04
chronoclust,26,4,100,0.04
chronoclust,27,4,100,0.04
chronoclust,28,3,100,0.03
chronoclust,29,3,100,0.03
chronoclust,30,3,100,0.03
chronoclust,31,4,100,0.04
chronoclust,32,7,100,0.07
chronoclust,33,7,100,0.07
chronoclust,34,4,100,0.04
chronoclust,35,2,100,0.02
chronoclust,36,2,100,0.02
chronoclust,37,3,100,0.03
chronoclust,38,2,100,0.02
chronoclust,39,1,100,0.01
