Algorithm,FrontPosition,count,num_solutions_total,proportion
flowsom,0,19,381,0.049868766404199474
phenograph,0,13,308,0.04220779220779221
chronoclust,0,3,400,0.0075
flowsom,1,43,381,0.11286089238845144
phenograph,1,21,308,0.06818181818181818
chronoclust,1,2,400,0.005
flowsom,2,41,381,0.10761154855643044
phenograph,2,18,308,0.05844155844155844
chronoclust,2,1,400,0.0025
flowsom,3,35,381,0.09186351706036745
phenograph,3,28,308,0.09090909090909091
chronoclust,3,3,400,0.0075
phenograph,4,25,308,0.08116883116883117
flowsom,4,27,381,0.07086614173228346
chronoclust,4,4,400,0.01
flowsom,5,26,381,0.06824146981627296
phenograph,5,18,308,0.05844155844155844
chronoclust,5,5,400,0.0125
flowsom,6,25,381,0.06561679790026247
phenograph,6,13,308,0.04220779220779221
chronoclust,6,7,400,0.0175
phenograph,7,17,308,0.05519480519480519
flowsom,7,17,381,0.04461942257217848
chronoclust,7,7,400,0.0175
phenograph,8,21,308,0.06818181818181818
flowsom,8,10,381,0.026246719160104987
chronoclust,8,7,400,0.0175
phenograph,9,22,308,0.07142857142857142
flowsom,9,10,381,0.026246719160104987
chronoclust,9,6,400,0.015
phenograph,10,23,308,0.07467532467532467
chronoclust,10,9,400,0.0225
flowsom,10,3,381,0.007874015748031496
phenograph,11,20,308,0.06493506493506493
chronoclust,11,10,400,0.025
flowsom,11,4,381,0.010498687664041995
phenograph,12,12,308,0.03896103896103896
flowsom,12,11,381,0.028871391076115485
chronoclust,12,10,400,0.025
phenograph,13,10,308,0.032467532467532464
flowsom,13,9,381,0.023622047244094488
chronoclust,13,7,400,0.0175
flowsom,14,12,381,0.031496062992125984
chronoclust,14,5,400,0.0125
phenograph,14,3,308,0.00974025974025974
flowsom,15,15,381,0.03937007874015748
phenograph,15,4,308,0.012987012987012988
chronoclust,15,5,400,0.0125
flowsom,16,14,381,0.03674540682414698
chronoclust,16,8,400,0.02
phenograph,16,2,308,0.006493506493506494
flowsom,17,15,381,0.03937007874015748
chronoclust,17,10,400,0.025
phenograph,17,3,308,0.00974025974025974
chronoclust,18,13,400,0.0325
flowsom,18,11,381,0.028871391076115485
phenograph,18,3,308,0.00974025974025974
flowsom,19,12,381,0.031496062992125984
chronoclust,19,10,400,0.025
phenograph,19,7,308,0.022727272727272728
phenograph,20,10,308,0.032467532467532464
flowsom,20,12,381,0.031496062992125984
chronoclust,20,9,400,0.0225
chronoclust,21,12,400,0.03
phenograph,21,5,308,0.016233766233766232
flowsom,21,5,381,0.013123359580052493
chronoclust,22,15,400,0.0375
phenograph,22,4,308,0.012987012987012988
flowsom,22,4,381,0.010498687664041995
chronoclust,23,11,400,0.0275
phenograph,23,2,308,0.006493506493506494
flowsom,23,1,381,0.0026246719160104987
chronoclust,24,15,400,0.0375
phenograph,24,2,308,0.006493506493506494
chronoclust,25,18,400,0.045
phenograph,25,1,308,0.003246753246753247
chronoclust,26,15,400,0.0375
phenograph,26,1,308,0.003246753246753247
chronoclust,27,16,400,0.04
chronoclust,28,15,400,0.0375
chronoclust,29,20,400,0.05
chronoclust,30,14,400,0.035
chronoclust,31,17,400,0.0425
chronoclust,32,18,400,0.045
chronoclust,33,13,400,0.0325
chronoclust,34,10,400,0.025
chronoclust,35,11,400,0.0275
chronoclust,36,10,400,0.025
chronoclust,37,13,400,0.0325
chronoclust,38,6,400,0.015
chronoclust,39,2,400,0.005
chronoclust,40,3,400,0.0075
chronoclust,41,3,400,0.0075
chronoclust,42,2,400,0.005
