param,f1,accuracy,ari,v_measure,num_cluster,grid_size,seed
1,0.6975022,0.813799364679443,0.8729059614821368,0.8507805361612998,60,16,32
2,0.6943049,0.8081674073555657,0.8723772423920311,0.8498865163915583,67,15,32
3,0.6755151,0.8472742259703803,0.8752577644682664,0.8669666091607354,33,13,32
4,0.703362,0.8308954753823005,0.8686537876174346,0.8598267341737597,59,20,32
5,0.7090649,0.8268673719735763,0.8595243795448538,0.8515343205733887,58,26,32
6,0.686902,0.7952607574856236,0.8621325167767265,0.8444357486628253,69,22,32
7,0.6681031,0.7979416236056192,0.8302864129096351,0.8401569653387014,48,11,32
8,0.6995219,0.8437671320759119,0.8293990005404995,0.8444635139564025,42,25,32
9,0.5434651,0.6816456902015218,0.6442521094199741,0.7733033792135352,27,20,32
10,0.7068942,0.8206288662599682,0.8807969227993212,0.8607663089620894,51,14,32
11,0.5973551,0.47896910102530005,0.45205180607741585,0.7651210784807173,69,10,32
12,0.615145,0.6965605595797708,0.6613694887783717,0.7905764103071284,29,12,32
13,0.6859989,0.7997087790103152,0.8657058539703659,0.8501170111556476,66,18,32
14,0.7034351,0.8033713981329197,0.8616843861984785,0.8490336433452151,64,17,32
15,0.6880418,0.8032605864078727,0.8534830403788577,0.8412275330576967,68,26,32
16,0.7000233,0.8471167566768925,0.8825129353288336,0.8634970357428731,44,20,32
17,0.6719099,0.8261616762509089,0.8643700384871107,0.8516898344899195,45,11,32
18,0.7090879,0.8197365402635375,0.8603990819415123,0.8451840747436254,62,30,32
19,0.6384432,0.6998557503509037,0.6576966725414887,0.7810189899362281,33,30,32
21,0.6950257,0.7982215690162641,0.8600427134709067,0.8458041240102611,66,20,32
22,0.6198519,0.7094885941685816,0.6682664162176033,0.7890307644153731,31,15,32
23,0.6800701,0.8181268541523292,0.81841656550095,0.8385712352670319,39,26,32
24,0.6208222,0.7028107296854891,0.6673244935767015,0.7927443881568783,33,18,32
25,0.7119106,0.8131733756361954,0.8738925525306952,0.8568201837475808,58,23,32
26,0.5764106,0.6892878110990579,0.6414939179591156,0.7761482319971638,27,16,32
27,0.7090607,0.8269645752411613,0.859522480711003,0.8514747918441433,57,26,32
28,0.5657071,0.6890525791915021,0.6280567160971311,0.7656312377688318,25,22,32
29,0.6756986,0.8221432931689432,0.8258348520553692,0.8407496369915202,46,29,32
30,0.7033816,0.8401744993059687,0.8342479296250312,0.8503592484954268,41,22,32
31,0.6879102,0.825055503065791,0.8723407591060958,0.8601930370271008,65,27,32
32,0.6786073,0.7836391348131558,0.8484148684352434,0.8433300353837361,72,18,32
33,0.7034048,0.8033830625250299,0.8616052602809613,0.8486892093538417,63,17,32
34,0.684182,0.8342178830683572,0.8825501304258933,0.8652197115206722,53,24,32
35,0.7221456,0.8373244995003752,0.8756210324516162,0.8659907817609953,45,23,32
36,0.6612766,0.8056090173527273,0.8646611694635704,0.8512406409147737,50,13,32
37,0.6971797,0.797949399867026,0.8514351948973272,0.836133237759779,70,30,32
38,0.6853378,0.8358159047874554,0.8667475069017399,0.8591917613079286,43,11,32
39,0.6432787,0.6887181999510096,0.6416399637805796,0.7765877133807713,36,29,32
40,0.63274,0.6963117192147531,0.659007374229774,0.7855241516495469,37,28,32
41,0.6091427,0.6956254641456027,0.6555464135396031,0.7805862015248631,30,27,32
42,0.6914321,0.8412281827265905,0.8343550193626034,0.8448900562232846,39,19,32
44,0.6812313,0.8253432247378428,0.8728039573144589,0.8639156521614411,56,27,32
45,0.7112791,0.8251060487649353,0.8617433872379112,0.8466432999195759,65,30,32
46,0.7140929,0.8227984431924663,0.8757526907372385,0.8581688001929431,59,19,32
47,0.7116572,0.851747520344644,0.884942786962351,0.8709830220052662,46,24,32
48,0.6585926,0.6984326945134588,0.6574185313300147,0.7799194399437922,38,30,32
49,0.6081337,0.6964789088349994,0.6612284869804723,0.7894099275298586,28,12,32
50,0.6946565,0.8370737150700058,0.8786528126363191,0.8648533053477008,48,16,32
51,0.7038249,0.8324410073369026,0.8774148873051796,0.8648594005232757,54,21,32
52,0.6876221,0.8089100403199154,0.8656554658153505,0.8472435017178623,61,28,32
53,0.6095919,0.7075756338625079,0.660265454914672,0.789774258120433,26,28,32
54,0.6772041,0.8074150540644575,0.8640803967781936,0.8448696570544674,70,28,32
55,0.6957245,0.8356875964742431,0.8819088090517061,0.8680040641613098,53,27,32
56,0.6988947,0.842375181284094,0.8840433673051882,0.8659084912394028,49,29,32
57,0.6306786,0.7240476995874693,0.6705882246562501,0.7890409045382447,25,15,32
58,0.6530494,0.8559155964586905,0.8923802334930613,0.8751714313809625,35,10,32
59,0.6988469,0.843772964271967,0.829375744761033,0.8439466548757766,40,25,32
60,0.693928,0.8187392347381149,0.8740045474772925,0.8587280502675642,63,29,32
61,0.6643259,0.7838704785900082,0.8274886521263141,0.842405643791926,51,10,32
62,0.5946973,0.6993075239217241,0.6502487454582925,0.7841558784864726,26,12,32
63,0.6673445,0.7798598717694494,0.8442299263054315,0.841950244659337,68,13,32
64,0.7126345,0.843603830586369,0.8726799905318182,0.8509937398154502,52,25,32
65,0.6871354,0.8347136197330409,0.8273068167024862,0.8474177223510426,38,24,32
66,0.6535243,0.7104664590404871,0.6664761728434468,0.7942921732392382,32,19,32
67,0.6525371,0.6951686087879531,0.6645664101156035,0.7885195284429961,35,23,32
68,0.6868484,0.7786234462057676,0.8252032208734364,0.8375908559555933,72,19,32
69,0.685879,0.7893916241888387,0.8694885559819527,0.8483593014772145,71,21,32
70,0.6973055,0.8403786261678973,0.8811968145322252,0.868264017245269,42,14,32
71,0.6591191,0.86374434762999,0.8925409875915907,0.8752315169168492,29,10,32
72,0.7009737,0.8148336074465479,0.8730795362662636,0.8519385001319869,57,16,32
73,0.6707978,0.8164180207081841,0.8827016705750806,0.8606902594180141,61,24,32
74,0.7054328,0.8404836056968891,0.8781767831035376,0.8652730444975573,47,21,32
75,0.716903,0.8545664151046102,0.8848795187351853,0.8712148404976273,43,24,32
78,0.5712746,0.7026746451108701,0.6593357619452721,0.7865596733137782,24,21,32
79,0.7134257,0.8299020579875813,0.8774620597672897,0.866340568420419,49,19,32
80,0.6998446,0.8505110947809622,0.8803759096228022,0.8665719691258859,45,16,32
81,0.6527991,0.6951666647226014,0.6645664394173726,0.7885277266858104,36,23,32
82,0.6967945,0.8074403269140296,0.8629201570129598,0.8473167750697587,61,16,32
83,0.6685129,0.8605152550808148,0.8925442763506092,0.8766531205669393,32,10,32
84,0.6998018,0.8112740237875836,0.8788710705014305,0.8575748606919373,62,14,32
85,0.6256218,0.689651351319826,0.6430025818917988,0.7772414177378425,34,29,32
87,0.6682327,0.844949123809746,0.8864984171348751,0.8704689958319134,40,14,32
88,0.694068,0.8197054352179103,0.8725431212693795,0.8554426638132535,55,22,32
89,0.5840109,0.6782357995746385,0.6563911219933689,0.7829864803823848,27,14,32
90,0.6097844,0.6965450070569572,0.6573468242530024,0.7873277768964226,29,17,32
91,0.6780375,0.7989894748301859,0.8499086421341856,0.8448072981765768,47,12,32
92,0.6656829,0.8459211564855964,0.8385033856374441,0.8529105705728252,36,18,32
93,0.6820131,0.8231036614526834,0.8857985734115809,0.8632987101432065,54,24,32
94,0.5250318,0.6837219519971384,0.6490373344255905,0.774199320438368,24,20,32
96,0.6758966,0.7955795842033025,0.8626888102863867,0.8490881447200678,60,13,32
97,0.6374315,0.6982441201743438,0.6565077954324684,0.7862549491184602,31,17,32
98,0.6553756,0.7842942848366791,0.8273846643712004,0.8373519978371345,50,11,32
99,0.665613,0.7762322458231756,0.8431828640640793,0.8400943033226046,71,13,32
100,0.6732705,0.8415586738363797,0.8753561397701255,0.8648973284308102,38,15,32
