param,f1,accuracy,ari,v_measure,k
0,0.4697284,0.6833645271386106,0.6993433837651518,0.7832117263794742,7
1,0.4606198,0.885267960903764,0.8756371005213012,0.8644434754141835,51
2,0.4669049,0.8889622860777766,0.8808530708939291,0.86993153480863,60
3,0.427547,0.49719255752504676,0.4662457078626915,0.7208091463422289,6
4,0.4632874,0.886368918737079,0.874745534916746,0.8635497744658905,48
5,0.4496426,0.8317981087990997,0.8051441502829333,0.8323425915942844,13
6,0.4590629,0.872912767441007,0.8507280221653193,0.8552162960961093,59
7,0.4643083,0.8823320733482575,0.8672136477857412,0.8624128773512867,63
8,0.4701351,0.8925709811980868,0.8853750452094556,0.8709453899174278,76
9,0.3853688,0.24857181303289416,0.18830731698750727,0.6256130432268883,5
10,0.4625345,0.8817815944316,0.8670915128985596,0.857248623657374,37
11,0.4597708,0.8816959643778977,0.8688221526382182,0.8621863200192635,66
12,0.4629546,0.8854147552815393,0.8731686581020853,0.8624084681722464,67
13,0.4678185,0.8873842465166918,0.8744739604582765,0.8646938320630302,68
14,0.4626841,0.8883628757018606,0.8811653322139532,0.8667371982416974,62
15,0.4644053,0.8907972157999682,0.8850437043635869,0.8711549853572341,71
16,0.4551697,0.819932229928927,0.8136582463804212,0.835371605826885,12
17,0.4627624,0.8905403256388613,0.8874664890344679,0.867046431613125,26
18,0.4654428,0.8862955215481914,0.8743071711430432,0.8628591998142363,50
19,0.4588703,0.8804849107612511,0.8674113676946008,0.8577484165085366,27
20,0.4523134,0.8416333321100469,0.8174253162732071,0.830741628901556,14
21,0.4637143,0.8883017113777876,0.8825017982750463,0.8667429754519935,38
22,0.467237,0.8836287570186062,0.8654858700648719,0.8617986306382265,57
24,0.4597635,0.8781362007168458,0.8593191759345473,0.8559535609366515,40
25,0.459829,0.882062950322336,0.8692469985533108,0.8586428558161531,24
26,0.4613667,0.8797387060075599,0.8630691819568096,0.8565514833462264,28
27,0.465908,0.8889745189425912,0.8792534520994367,0.8690529299488956,80
28,0.464173,0.8931092272499297,0.8915177027958125,0.8729992063235468,55
29,0.4646008,0.8792371585501608,0.8592403702933716,0.8591618119491643,70
30,0.4598892,0.8791148299020147,0.863536833786362,0.8597422014429004,73
31,0.4612373,0.8838611814500837,0.8724229017070337,0.8607901144584124,54
32,0.4657465,0.8861242614407868,0.8749598330747436,0.86261678600549,36
33,0.4639795,0.8884852043500068,0.8819353818221434,0.8650171871960153,41
34,0.4681777,0.8894149020759171,0.874971870798782,0.8660709892515291,44
37,0.4621607,0.8761911752113227,0.8544682303957294,0.8512024784844895,21
38,0.4645208,0.8885463686740798,0.8794769163906759,0.8679893854116902,72
39,0.4452477,0.7878209597905733,0.7874608573817198,0.8231883491019105,11
40,0.46106,0.8691939765373653,0.8522687504012166,0.8452029120140371,16
43,0.4598404,0.8795062815760823,0.8627503397355566,0.8592423629083521,52
44,0.4658768,0.8897329565610971,0.8812946002232519,0.8672307890165781,45
45,0.464694,0.8902467368833107,0.8851095322555823,0.8698766726896792,79
46,0.4630474,0.8751636145668954,0.8508516291127425,0.8519488001122736,25
47,0.4706916,0.8929257342777105,0.8833978601063568,0.8719614642335668,65
51,0.4248495,0.856373934211653,0.8238539889601718,0.837401132538342,19
52,0.4580246,0.8753226418094854,0.857016019201811,0.852445318807535,33
53,0.4890408,0.7295558246785815,0.7112015977107228,0.8004812900856014,8
54,0.4668394,0.8865401788444836,0.8718000186886394,0.8624171028118228,31
55,0.4689527,0.8886564644574113,0.8815125564505403,0.8663737455318362,34
57,0.4597737,0.8699157155614273,0.8561155417472485,0.84924452236381,15
58,0.465881,0.8850110707426572,0.8688723943455199,0.8603077212440222,39
59,0.4701919,0.893317185951778,0.8861927112272786,0.8735178991603622,61
62,0.4600235,0.8768395170464971,0.8592876872240617,0.8497517898663568,17
63,0.4655312,0.8887053959166697,0.8794921112938137,0.868047542074156,75
65,0.4591233,0.8029407807014325,0.7903578302602215,0.8247119248980551,10
67,0.4643686,0.8815981014593808,0.8616999750250691,0.8614145867511109,69
68,0.461777,0.8744785741372773,0.849729164732707,0.8505319755566771,23
69,0.4697323,0.8911397360147773,0.8793223076952383,0.8702737023337833,58
70,0.469437,0.8927422413054913,0.8852291040622534,0.8693721451971289,43
75,0.4681061,0.8891702447796249,0.8777185925406285,0.8678881608621405,77
77,0.468211,0.8895005321296194,0.8779282493442396,0.8681723906487959,74
78,0.4655008,0.8893170391574002,0.8813759587141721,0.8648927804464187,30
79,0.464106,0.8788457068760933,0.8593712792988306,0.8564032110977202,46
81,0.4644306,0.8896595593722094,0.8829732541350772,0.8666609704349371,42
83,0.4698525,0.8923263239017946,0.8838544328760802,0.8698052024843232,49
87,0.4700842,0.8943692123258346,0.8874613069846387,0.8741577594259431,56
90,0.46152,0.8812800469742009,0.864319714935475,0.8580145869667609,53
92,0.4696459,0.893977760651767,0.8880765298353809,0.8726623460265833,64
93,0.4592227,0.8789313369297956,0.861463111595693,0.8513017390071673,18
95,0.4646592,0.8819773202686337,0.8639237204719575,0.8617614520209368,78
98,0.4619527,0.8746253685150526,0.8494071583377946,0.8482616370073479,20
