param,f1,accuracy,ari,v_measure,k
0,0.6459732,0.8601922028096967,0.845532988075562,0.8595845427661758,37
1,0.6616445,0.8729242284618133,0.8624965990974858,0.8708620272777527,69
2,0.6659223,0.8838320200101555,0.8811959732174087,0.8748881900137918,54
3,0.642977,0.8366088052206947,0.8094721890274349,0.8468933037530771,28
4,0.6699417,0.8954920730445903,0.8967291305655082,0.879741385159567,50
5,0.6569131,0.8607375923871138,0.849974304309584,0.8676528865676685,58
6,0.6574228,0.7706354728903767,0.7233494352949084,0.8226291815202283,9
7,0.6574031,0.8416489571775149,0.8274590277648098,0.8653043674088934,46
8,0.650313,0.8484005040151957,0.8310650588814243,0.8603377922470449,23
9,0.6366937,0.8782276719387659,0.8639481116205661,0.8708006849516903,78
10,0.6588506,0.8481372124950632,0.8309220801463174,0.8653080081182275,64
11,0.6613222,0.8652699678408214,0.8573797370683092,0.8711166996045973,57
13,0.6584493,0.8542493370695654,0.8363538184177303,0.8642406739584697,49
14,0.6505292,0.8064807327026875,0.7954759602444044,0.8597629156942105,73
15,0.6655186,0.8486637955353281,0.8177796892677696,0.8632459866634932,62
16,0.6604579,0.8019859703232843,0.7617115751875521,0.8365687019811376,14
17,0.6540773,0.819927406766592,0.8004445890454623,0.8592489360046409,60
18,0.6537423,0.8372482274838734,0.8205415081151173,0.8635717144276216,75
19,0.6180211,0.8039042371128204,0.7934664884809947,0.853701854530504,80
22,0.6666223,0.860154589735392,0.8439676453045293,0.8692206261490862,77
23,0.6710851,0.8523498768171817,0.8265064305192457,0.8675311799055998,43
24,0.6552592,0.8303274218118218,0.8075446808111804,0.8573837813875844,21
25,0.665977,0.886972711714592,0.8889118344756859,0.8782010573947554,44
26,0.6729465,0.8536099148063867,0.820366445775419,0.8600920946394287,18
27,0.6687068,0.8425892840351306,0.811277883445645,0.852612019605797,13
28,0.6773528,0.8475730163804939,0.8163354819437931,0.8624775984145719,19
29,0.676206,0.8555846012073797,0.838011484055413,0.8626302234233297,17
30,0.657427,0.8747484625655878,0.8515123503135452,0.8631317704438864,36
31,0.6639844,0.8568070261222801,0.8218189036267437,0.8548923358740264,15
32,0.6710767,0.8652699678408214,0.8378045192691416,0.8676376113847883,42
33,0.6652868,0.8650254828578414,0.844059781109477,0.8684026615535865,48
34,0.6739077,0.8930096101404849,0.8754687119838035,0.8744159164070254,30
37,0.649725,0.8561487973219492,0.8430293256729786,0.8651397569837457,56
38,0.6570071,0.8570703176424125,0.8440224016834149,0.8670775877073391,66
39,0.6670887,0.866379553532808,0.8418125208689784,0.8613718210748301,45
40,0.6714691,0.8612641754273785,0.8321095607045274,0.8648255298690504,26
41,0.6710725,0.5142271453557257,0.4028531161973714,0.7300389873069552,6
42,0.650099,0.8289357380625505,0.8038044633806861,0.8490298022581089,16
43,0.6568624,0.8651007090064506,0.8492632551561679,0.8636396881753555,31
45,0.6609772,0.8458428149624809,0.8296538342932336,0.8668525395617813,68
46,0.6664507,0.8574840614597634,0.831850430187857,0.8671797229674041,63
47,0.6298208,0.8525191356515525,0.8310422306296522,0.8543666267292442,53
49,0.6614647,0.8477798882891693,0.8216446827472841,0.8607869542299332,25
50,0.6407533,0.8435484174298986,0.8291849812347634,0.8579680702369816,40
51,0.6592122,0.8926146728602863,0.9031120519105013,0.8806171323262894,71
52,0.6645706,0.863445733737047,0.8322425659905215,0.8586314823540011,34
53,0.6654777,0.8374174863182442,0.8142453380655615,0.8508260551382067,12
54,0.6631069,0.8965264325879676,0.9048413999244378,0.8812335592941355,76
55,0.6588312,0.8785285765332029,0.8775433423285632,0.8737148238757514,61
56,0.6548544,0.8426833167208921,0.8218502951210603,0.8593775374070683,38
58,0.6636111,0.6786338931412559,0.6246733596182059,0.798994900418699,8
59,0.6630195,0.8693509864028737,0.8623253595839775,0.8713015579611423,51
60,0.6568778,0.5420044007296937,0.4652956044091053,0.7606523231699168,7
65,0.6403807,0.8620540499877758,0.858008652127388,0.8649649686800478,33
70,0.656708,0.8391100746619525,0.8139821679127053,0.8561138081527515,20
72,0.6446889,0.8695954713858537,0.8582039598204919,0.8648413208329695,41
73,0.6648027,0.8723412258100915,0.8633292642444298,0.8732029930548909,72
74,0.6319716,0.8656460985838678,0.8514528616990061,0.8633136476749134,79
76,0.683741,0.8490587328155267,0.8323611564612753,0.8531654039305657,11
78,0.6536888,0.8511650649765858,0.8291199483811652,0.8606859634274384,27
79,0.6627061,0.8455419103680439,0.828410490759479,0.8663515735272136,70
80,0.6597356,0.8614898538732063,0.8498456953369271,0.867943581983127,67
82,0.6601424,0.8445075508246667,0.8272584925600731,0.8651876324474216,52
84,0.6678092,0.8682414007108871,0.8427561567358709,0.8643156212263097,55
85,0.6646381,0.8701408609632708,0.8544931857897018,0.8676199006154465,39
90,0.6516891,0.8621480826735374,0.8286779269196815,0.859770636471231,24
91,0.6643908,0.8600981701239351,0.8430080351462914,0.8682382686154307,74
93,0.7000311,0.8204539898068569,0.7985526362165472,0.8482783806083829,10
94,0.6678791,0.8456547495909578,0.8260522209321056,0.8656665047362447,65
98,0.5967507,0.3256351907923194,0.179071811142789,0.6236834179215582,5
