FrontPosition,Algorithm,NormalisedFrontPosition
0,Algorithm 1,0.0
0,Algorithm 1,0.0
0,Algorithm 1,0.0
0,Algorithm 1,0.0
0,Algorithm 1,0.0
0,Algorithm 2,0.0
0,Algorithm 2,0.0
1,Algorithm 1,0.14285714285714285
1,Algorithm 1,0.14285714285714285
1,Algorithm 1,0.14285714285714285
1,Algorithm 2,0.14285714285714285
1,Algorithm 2,0.14285714285714285
1,Algorithm 2,0.14285714285714285
1,Algorithm 2,0.14285714285714285
2,Algorithm 1,0.2857142857142857
2,Algorithm 1,0.2857142857142857
2,Algorithm 1,0.2857142857142857
2,Algorithm 1,0.2857142857142857
2,Algorithm 1,0.2857142857142857
2,Algorithm 1,0.2857142857142857
2,Algorithm 2,0.2857142857142857
2,Algorithm 2,0.2857142857142857
3,Algorithm 2,0.42857142857142855
3,Algorithm 1,0.42857142857142855
3,Algorithm 1,0.42857142857142855
4,Algorithm 1,0.5714285714285714
3,Algorithm 2,0.42857142857142855
3,Algorithm 2,0.42857142857142855
4,Algorithm 2,0.5714285714285714
5,Algorithm 1,0.7142857142857142
5,Algorithm 1,0.7142857142857142
4,Algorithm 2,0.5714285714285714
5,Algorithm 2,0.7142857142857142
5,Algorithm 2,0.7142857142857142
5,Algorithm 2,0.7142857142857142
6,Algorithm 2,0.8571428571428571
6,Algorithm 2,0.8571428571428571
7,Algorithm 2,1.0
