Algorithm,FrontPosition,count,num_solutions_total,proportion
Algorithm 1,0,5,19,0.2631578947368421
Algorithm 2,0,2,19,0.10526315789473684
Algorithm 2,1,4,19,0.21052631578947367
Algorithm 1,1,3,19,0.15789473684210525
Algorithm 1,2,6,19,0.3157894736842105
Algorithm 2,2,2,19,0.10526315789473684
Algorithm 2,3,3,19,0.15789473684210525
Algorithm 1,3,2,19,0.10526315789473684
Algorithm 2,4,2,19,0.10526315789473684
Algorithm 1,4,1,19,0.05263157894736842
Algorithm 2,5,3,19,0.15789473684210525
Algorithm 1,5,2,19,0.10526315789473684
Algorithm 2,6,2,19,0.10526315789473684
Algorithm 2,7,1,19,0.05263157894736842
